Name,Name,PositionId,Team1,Team2,Date,Goals,SavesMade,PenaltyGoals,PenaltiesSaved,Assists,Offsides
Duff Damien,Fulham,4,Fulham,Wigan Athletic,4/21/12 00:00,0,0,0,0,0,0
Duff Damien,Fulham,4,Fulham,Wolverhampton Wanderers,8/21/11 00:00,0,0,0,0,0,0
Duff Damien,Fulham,4,Fulham,Wolverhampton Wanderers,3/4/12 00:00,0,0,0,0,1,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Arsenal,2/4/12 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Aston Villa,8/20/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Aston Villa,3/3/12 00:00,1,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Bolton Wanderers,12/20/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Bolton Wanderers,3/24/12 00:00,0,0,0,0,0,1
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Chelsea,11/5/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Everton,8/27/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Everton,1/21/12 00:00,0,0,0,0,0,1
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Fulham,9/11/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Fulham,1/14/12 00:00,1,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Liverpool,12/26/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Liverpool,4/10/12 00:00,0,0,0,0,1,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Newcastle United,2/1/12 00:00,0,0,0,1,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Norwich City,10/29/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Norwich City,4/21/12 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Stoke City,1/2/12 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Sunderland,12/11/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Swansea City,12/3/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Swansea City,4/14/12 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Tottenham Hotspur,4/29/12 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,West Bromwich Albion,12/17/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,West Bromwich Albion,4/7/12 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Wigan Athletic,11/19/11 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Wigan Athletic,5/7/12 00:00,0,0,0,0,0,0
Dunn David,Blackburn Rovers,4,Blackburn Rovers,Wolverhampton Wanderers,8/13/11 00:00,0,0,0,0,0,0
